Episode,DDQN Reward,SARSA Reward,A2C Reward
0,16.736119678573395,17.736119678573395,18.236119678573395
1,24.236119678573395,13.736119678573397,15.236119678573397
2,12.736119678573395,5.736119678573396,12.736119678573395
3,19.236119678573395,16.736119678573395,11.236119678573395
4,13.736119678573395,14.736119678573397,11.736119678573395
5,8.236119678573395,11.236119678573395,18.736119678573395
6,15.736119678573397,6.236119678573396,15.236119678573395
7,12.736119678573395,16.736119678573395,15.736119678573395
8,17.236119678573395,13.736119678573397,12.236119678573395
9,13.736119678573397,17.736119678573395,14.736119678573397
10,15.236119678573395,19.736119678573395,16.736119678573395
11,22.7361196785734,8.736119678573395,11.236119678573395
12,14.736119678573397,13.236119678573397,33.236119678573395
13,8.736119678573395,15.236119678573395,11.236119678573395
14,16.736119678573395,14.736119678573399,14.736119678573395
15,13.736119678573395,13.736119678573395,7.236119678573396
16,11.736119678573397,4.736119678573396,15.736119678573399
17,15.736119678573395,8.236119678573395,13.736119678573395
18,16.236119678573395,9.736119678573395,15.736119678573395
19,10.736119678573395,16.736119678573395,6.736119678573396
20,7.736119678573396,25.2361196785734,13.736119678573397
21,12.736119678573395,21.736119678573395,15.236119678573395
22,12.236119678573397,15.236119678573395,11.736119678573397
23,13.736119678573397,13.736119678573395,7.736119678573396
24,17.236119678573395,21.736119678573395,9.736119678573395
25,18.736119678573395,15.736119678573397,14.736119678573395
26,13.736119678573395,9.236119678573395,16.2361196785734
27,9.736119678573395,15.236119678573395,10.236119678573395
28,19.236119678573395,17.236119678573395,12.736119678573395
29,10.236119678573395,19.236119678573395,24.236119678573395
30,11.236119678573395,17.236119678573395,18.236119678573395
31,10.236119678573395,17.236119678573395,18.236119678573395
32,13.236119678573395,18.236119678573395,13.236119678573397
33,12.236119678573395,13.236119678573395,15.236119678573395
34,33.736119678573395,10.736119678573397,8.736119678573395
35,13.236119678573395,17.236119678573395,16.236119678573395
36,11.236119678573395,12.236119678573397,4.236119678573396
37,25.236119678573395,14.236119678573397,12.236119678573397
38,8.236119678573395,11.736119678573397,12.736119678573395
39,12.736119678573395,17.736119678573395,14.236119678573395
40,9.736119678573395,12.236119678573397,11.236119678573395
41,9.236119678573395,16.736119678573395,8.736119678573395
42,13.736119678573395,13.736119678573399,16.236119678573395
43,7.736119678573396,11.236119678573395,14.236119678573397
44,15.736119678573397,8.236119678573395,8.736119678573395
45,14.236119678573397,13.236119678573397,17.236119678573395
46,20.236119678573395,15.736119678573395,8.736119678573395
47,8.736119678573395,21.736119678573395,13.236119678573395
48,4.236119678573396,11.736119678573395,13.736119678573395
49,18.736119678573395,13.236119678573395,16.236119678573395
