Episode,DDQN Reward,SARSA Reward,A2C Reward
0,4.752121022722295,6.126026617851922,3.4572421310620602
1,2.760285178152062,5.213509869793427,9.643125107955226
2,4.6678420258294855,1.0240485240080857,4.637154200686835
3,5.73083121364466,3.3619723182045536,7.885632392182554
4,2.9952488787220837,0.33785073145230715,4.020758456127127
5,3.8670672059760482,6.992387189267763,1.4835080374193141
6,3.643993861287133,6.554486099932724,0.8410838728598988
7,1.232167724012481,3.726856181195521,5.5804783113193235
8,1.841153858700366,3.9633586778575634,3.68408235218311
9,0.41188378088553734,5.853201028899951,1.7643624778236613
10,2.649338732180116,-0.07350792032814102,8.007859171488441
11,6.620254786456827,6.013227866438033,5.758479221644112
12,4.153556907391561,0.2826393547782782,0.3670148959207977
13,0.225774481498062,5.947729937039968,4.958640159980197
14,7.134075616332962,2.9173882240084104,6.86324183789649
15,7.957705566490524,9.423205372599176,5.912464097816354
16,1.359168742867304,8.692387624857698,2.8275853457132496
17,3.1027936090060577,3.7407866029174257,3.5156061921113873
18,2.7495319801023257,1.0138057462511425,3.9708807841117117
19,2.9157466170701296,1.4182164833797581,3.9571212138998777
20,2.7980645284556287,0.707650107682287,9.728126288677254
21,7.76271960602071,1.9119875140120937,7.556996402987211
22,3.5473430462210533,1.7820430648707608,4.505994854575768
23,8.829009994933283,-0.4696254184981028,4.393315933848545
24,-0.7755650994266874,9.339940760862392,1.444893036143581
25,-0.40154120928251014,6.897764454856748,3.106575020899884
26,0.9844709732095345,5.218428801888724,7.093231299244859
27,7.158565888459308,6.200203737509828,3.3362161357314
28,6.247051498831586,4.161664743682176,3.2057839535243255
29,2.362076334305161,3.420539080809941,4.284375594021334
30,0.9872461214136592,2.8580560968483932,2.969983464667254
31,3.839698142453481,1.9322001692133446,1.4206160211901562
32,5.160577089492552,2.54612161709948,1.5987609022135096
33,0.987313190186293,0.1477209714175476,3.871308219397728
34,6.392959783180635,4.77738522165882,3.5208700274622844
35,9.434770152261024,-0.16770518324479977,4.058404852517418
36,8.084778897796983,3.358213609246101,4.272837382944686
37,1.1009234168518196,0.4741203031903316,3.6117077130954294
38,-0.2335946930256425,1.7404275338865696,4.846783451860215
39,1.0006260984882198,-0.21873702485683033,1.1326529439912414
40,5.863894649643633,4.059599081206487,1.789998472947274
41,3.479177691881639,3.33687163278764,7.068215328768323
42,-0.04592628422743972,10.914337258355747,4.4064015132065455
43,3.356179198938244,5.6899074607755775,3.2529783664913636
44,2.363669300808273,-0.09861103619207245,4.13017621591953
45,2.526009388837797,4.340530449899918,3.3657615558179725
46,7.2144362196779115,12.769995946334584,2.7982848435862895
47,6.142328014928068,5.28543775910072,2.8552491513992075
48,3.3812094640546797,-0.813597914110294,4.138637956284864
49,0.35952037188674524,0.7196554411127909,7.45064560819533
