Episode,DDQN Reward,SARSA Reward,A2C Reward
0,21.382313651790152,29.38231365179015,26.382313651790152
1,62.382313651790156,36.882313651790156,42.38231365179015
2,30.382313651790152,33.88231365179015,25.382313651790156
3,38.382313651790156,34.88231365179015,49.88231365179015
4,24.382313651790152,21.382313651790152,30.882313651790152
5,35.88231365179015,17.88231365179015,24.882313651790152
6,28.382313651790152,37.88231365179014,34.382313651790156
7,29.382313651790152,24.38231365179015,34.88231365179015
8,26.382313651790152,25.882313651790156,26.382313651790152
9,23.382313651790152,36.382313651790156,19.882313651790152
10,37.38231365179015,47.88231365179015,45.882313651790156
11,30.382313651790152,21.38231365179015,41.38231365179015
12,24.382313651790152,31.882313651790152,25.882313651790152
13,31.882313651790156,25.382313651790152,39.382313651790156
14,30.882313651790152,27.382313651790156,35.882313651790156
15,36.38231365179015,24.882313651790152,41.88231365179015
16,20.382313651790156,50.38231365179014,36.38231365179015
17,34.88231365179015,18.88231365179015,41.38231365179015
18,29.882313651790152,28.882313651790152,34.382313651790156
19,21.88231365179015,51.38231365179015,36.88231365179015
20,24.882313651790152,34.382313651790156,28.382313651790152
21,28.382313651790156,32.88231365179015,64.38231365179016
22,28.882313651790152,22.382313651790152,32.88231365179015
23,22.38231365179015,43.38231365179015,48.382313651790156
24,24.882313651790152,25.382313651790152,26.382313651790152
25,36.882313651790156,30.88231365179015,18.38231365179015
26,33.38231365179015,24.38231365179015,35.38231365179015
27,21.88231365179015,22.882313651790156,32.38231365179015
28,20.882313651790152,21.882313651790152,38.88231365179015
29,31.882313651790156,29.88231365179015,31.38231365179015
30,54.382313651790156,44.382313651790156,22.382313651790152
31,22.382313651790152,32.882313651790156,26.382313651790152
32,38.382313651790156,29.38231365179015,30.382313651790156
33,31.382313651790152,21.88231365179015,17.882313651790152
34,37.88231365179015,57.38231365179015,35.882313651790156
35,50.382313651790156,19.382313651790152,25.882313651790156
36,37.88231365179015,28.382313651790152,21.882313651790152
37,44.382313651790156,34.882313651790156,32.38231365179015
38,39.38231365179015,23.882313651790152,25.882313651790152
39,21.38231365179015,36.382313651790156,39.38231365179015
40,24.382313651790156,30.88231365179015,46.38231365179015
41,16.382313651790152,29.38231365179015,23.382313651790156
42,33.88231365179015,25.882313651790156,30.882313651790152
43,20.382313651790152,27.882313651790156,31.882313651790152
44,28.882313651790152,25.882313651790152,32.88231365179015
45,30.88231365179015,21.88231365179015,35.382313651790156
46,28.882313651790152,46.38231365179015,28.882313651790152
47,24.382313651790152,16.38231365179015,31.882313651790152
48,25.382313651790156,35.882313651790156,26.38231365179015
49,28.882313651790152,33.38231365179015,31.882313651790152
